year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,Bogdan Bogdanović,SG,27,SAC,48,1358,13.6,.547,.586,.160,1.4,11.8,6.4,17.1,1.7,0.8,11.6,22.6,,0.7,1.0,1.8,.063,,0.4,-0.6,-0.2,0.6
2020,Bojan Bogdanović,SF,30,UTA,58,1932,15.7,.602,.490,.298,2.1,11.0,6.7,9.7,0.8,0.3,13.0,25.4,,2.5,1.5,4.0,.100,,1.7,-1.4,0.3,1.1
2020,Jonah Bolden,PF,24,TOT,7,47,4.9,.392,.364,.364,7.0,14.4,10.6,0.0,3.0,3.7,13.6,13.4,,-0.1,0.1,0.0,-0.005,,-8.7,-0.1,-8.9,-0.1
2020,Jonah Bolden,PF,24,PHI,4,14,-2.0,.515,.333,.667,0.0,7.8,3.9,0.0,3.5,0.0,34.0,18.1,,-0.1,0.0,0.0,-0.142,,-14.0,-0.7,-14.7,0.0
2020,Jonah Bolden,PF,24,PHO,3,33,7.9,.338,.375,.250,9.9,17.2,13.5,0.0,2.9,5.3,0.0,11.4,,0.0,0.1,0.0,.053,,-6.5,0.1,-6.4,0.0
2020,Marques Bolden,C,21,CLE,1,3,19.8,,,,0.0,74.5,37.0,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.281,,-5.9,11.2,5.3,0.0
2020,Jordan Bone,PG,22,DET,10,53,0.8,.300,.500,.000,0.0,8.6,4.3,20.9,0.9,0.0,9.1,18.1,,-0.1,0.0,-0.1,-0.115,,-9.0,-2.9,-11.9,-0.1
2020,Isaac Bonga,SF,20,WAS,53,939,10.7,.616,.288,.341,6.6,14.4,10.4,7.7,1.7,1.8,16.3,10.3,,1.1,0.4,1.5,.078,,-2.3,-0.1,-2.4,-0.1
2020,Devin Booker,SG,23,PHO,58,2090,19.8,.617,.307,.393,1.4,11.5,6.3,29.4,1.0,0.6,15.7,29.5,,4.4,1.2,5.6,.129,,3.1,-1.4,1.7,1.9
2020,Chris Boucher,PF,27,TOR,51,673,20.0,.571,.369,.386,13.9,21.0,17.5,5.1,1.3,7.2,6.9,19.2,,1.6,1.4,3.1,.218,,0.5,1.1,1.7,0.6
