Player,Pos,Age,Tm,G,GS,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Josh Okogie,SG,21.0,MIN,51.0,17.0,24.4,2.7,6.6,0.412,0.6,2.6,0.25,2.1,4.0,0.517,0.461,2.5,3.2,0.7909999999999999,1.4,3.0,4.4,1.6,1.1,0.4,1.5,2.1,8.6
KZ Okpala,SF,20.0,MIA,5.0,0.0,5.2,0.6,1.0,0.6,0.0,0.2,0.0,0.6,0.8,0.75,0.6,0.2,0.4,0.5,0.2,0.8,1.0,0.2,0.4,0.2,0.2,0.4,1.4
Victor Oladipo,SG,27.0,IND,7.0,4.0,25.0,4.0,12.1,0.329,1.4,5.9,0.244,2.6,6.3,0.409,0.388,1.7,2.1,0.8,0.9,1.1,2.0,2.9,0.6,0.1,1.7,1.3,11.1
Kelly Olynyk,C,28.0,MIA,48.0,3.0,19.5,2.5,5.6,0.453,1.3,3.2,0.387,1.3,2.3,0.545,0.5660000000000001,1.3,1.4,0.87,0.7,3.9,4.6,1.5,0.6,0.3,1.1,2.4,7.5
Cedi Osman,SF,24.0,CLE,54.0,54.0,28.9,4.1,9.2,0.442,1.8,4.8,0.382,2.2,4.4,0.508,0.542,0.8,1.3,0.643,0.5,2.9,3.4,2.3,0.8,0.3,1.4,2.4,10.8
Kelly Oubre,SF,24.0,PHO,53.0,52.0,34.4,6.7,14.7,0.455,2.0,5.6,0.359,4.7,9.2,0.512,0.522,3.5,4.5,0.789,1.2,5.4,6.6,1.5,1.2,0.7,1.5,3.4,18.9
Tariq Owens,PF,24.0,PHO,3.0,0.0,5.0,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.333,0.2,0.7,0.7,1.0,0.7,0.3,1.0,0.0,0.3,0.0,0.0,0.3,1.3
Jeremy Pargo,PG,33.0,GSW,3.0,0.0,14.7,3.7,7.3,0.5,1.0,2.3,0.429,2.7,5.0,0.5329999999999999,0.568,0.0,0.3,0.0,0.3,0.7,1.0,2.7,0.3,0.0,1.3,2.7,8.3
Jabari Parker,PF,24.0,ATL,32.0,23.0,26.2,6.2,12.3,0.504,1.0,3.6,0.27,5.2,8.7,0.601,0.5429999999999999,1.7,2.3,0.736,1.7,4.3,6.0,1.8,1.3,0.5,1.9,2.9,15.0
Eric Paschall,PF,23.0,GSW,50.0,24.0,26.7,5.1,10.5,0.482,0.6,2.1,0.282,4.5,8.4,0.531,0.51,2.5,3.3,0.774,1.4,3.3,4.7,1.7,0.6,0.2,1.5,2.1,13.2
Anžejs Pasečņiks,C,24.0,WAS,20.0,0.0,18.5,2.7,5.1,0.529,0.0,0.1,0.0,2.7,5.0,0.54,0.529,1.6,2.5,0.62,1.9,2.9,4.7,0.9,0.4,0.5,1.1,2.9,7.0
Patrick Patterson,PF,30.0,LAC,45.0,18.0,12.8,1.6,4.0,0.399,1.1,3.0,0.373,0.5,1.0,0.477,0.539,0.6,0.8,0.794,0.6,2.0,2.6,0.6,0.1,0.1,0.3,0.9,4.9
Chris Paul,PG,34.0,OKC,54.0,54.0,31.8,6.1,12.6,0.485,1.6,4.5,0.362,4.5,8.1,0.5529999999999999,0.5489999999999999,3.6,4.0,0.898,0.4,4.7,5.0,6.7,1.6,0.1,2.1,2.3,17.4
Elfrid Payton,PG,25.0,NYK,36.0,27.0,27.4,4.3,9.9,0.43,0.4,1.6,0.237,3.9,8.3,0.468,0.449,0.8,1.6,0.536,1.2,3.5,4.7,6.9,1.7,0.4,2.0,2.1,9.7
Gary Payton,PG,27.0,WAS,23.0,17.0,17.7,1.9,4.7,0.411,0.5,1.7,0.3,1.4,2.9,0.478,0.467,0.2,0.3,0.5,1.1,2.1,3.2,2.0,1.4,0.3,0.8,2.1,4.5
Theo Pinson,SG,24.0,BRK,28.0,0.0,12.2,1.6,5.4,0.293,0.5,2.8,0.195,1.0,2.6,0.397,0.343,0.5,0.6,0.938,0.4,1.4,1.7,1.9,0.5,0.1,1.1,1.2,4.2
Mason Plumlee,C,29.0,DEN,43.0,1.0,17.4,3.0,4.9,0.605,0.0,0.1,0.0,3.0,4.8,0.617,0.605,1.5,2.7,0.5529999999999999,1.8,3.7,5.6,2.4,0.5,0.6,1.5,2.2,7.4
Vincent Poirier,C,26.0,BOS,18.0,0.0,6.0,0.8,1.7,0.467,0.1,0.1,0.5,0.7,1.6,0.464,0.483,0.3,0.4,0.857,0.5,1.3,1.8,0.4,0.1,0.3,0.3,1.2,1.9
Shamorie Ponds,PG,21.0,TOR,4.0,0.0,2.8,0.8,1.3,0.6,0.3,0.5,0.5,0.5,0.8,0.667,0.7,0.5,0.5,1.0,0.0,0.3,0.3,0.5,0.0,0.3,0.0,0.5,2.3
Jordan Poole,SG,20.0,GSW,48.0,10.0,21.5,2.5,8.5,0.295,1.2,4.6,0.265,1.3,3.9,0.33,0.366,1.6,1.9,0.8390000000000001,0.1,1.9,2.0,2.0,0.6,0.2,1.0,1.6,7.8
Kevin Porter,SF,19.0,CLE,42.0,2.0,22.7,3.7,8.1,0.459,1.0,3.0,0.34700000000000003,2.7,5.2,0.523,0.522,1.3,1.8,0.711,0.4,2.8,3.2,2.0,0.9,0.2,1.9,2.7,9.8
Michael Porter,PF,21.0,DEN,39.0,1.0,14.3,3.1,6.1,0.508,1.0,2.3,0.4320000000000001,2.1,3.8,0.5529999999999999,0.588,0.8,1.0,0.795,1.1,3.3,4.4,0.7,0.4,0.5,0.8,1.7,8.0
Otto Porter,SF,26.0,CHI,9.0,9.0,25.1,3.9,9.3,0.417,1.8,4.4,0.4,2.1,4.9,0.4320000000000001,0.512,1.7,2.2,0.75,0.9,2.6,3.4,1.6,1.0,0.3,0.8,2.2,11.2
Bobby Portis,C,24.0,NYK,55.0,4.0,20.8,3.7,8.6,0.431,1.0,2.9,0.348,2.7,5.7,0.473,0.489,1.0,1.4,0.747,1.4,3.9,5.3,1.6,0.5,0.2,1.1,1.7,9.4
Kristaps Porziņģis,PF,24.0,DAL,42.0,42.0,30.5,6.3,15.2,0.416,2.3,6.6,0.35,4.0,8.6,0.467,0.4920000000000001,3.5,4.5,0.775,1.6,7.5,9.1,1.5,0.7,1.9,1.7,3.1,18.4
Dwight Powell,C,28.0,DAL,40.0,37.0,26.5,3.7,5.7,0.638,0.3,1.0,0.256,3.4,4.8,0.716,0.659,1.9,2.8,0.667,1.9,3.8,5.7,1.5,0.9,0.6,0.9,2.6,9.4
Norman Powell,SG,26.0,TOR,38.0,17.0,28.2,5.5,11.1,0.498,2.0,5.1,0.401,3.5,6.1,0.578,0.589,2.2,2.6,0.84,0.6,3.3,3.9,1.7,1.3,0.4,1.5,2.0,15.3
Julius Randle,PF,25.0,NYK,53.0,53.0,32.8,7.2,15.9,0.455,1.0,3.9,0.264,6.2,12.0,0.517,0.488,3.8,5.3,0.7120000000000001,2.3,7.3,9.6,3.2,0.8,0.3,3.1,2.8,19.3
Cam Reddish,SF,20.0,ATL,48.0,31.0,26.0,3.2,9.0,0.353,1.3,4.1,0.316,1.9,5.0,0.382,0.424,1.6,2.1,0.7879999999999999,0.6,3.1,3.7,1.5,1.0,0.5,1.6,2.3,9.3
J.J. Redick,SG,35.0,NOP,50.0,35.0,27.2,4.9,10.7,0.454,3.0,6.6,0.458,1.8,4.1,0.449,0.596,2.9,3.2,0.9,0.2,2.5,2.6,2.0,0.4,0.2,1.2,1.6,15.7
Naz Reid,C,20.0,MIN,19.0,0.0,11.4,2.7,6.4,0.418,1.2,3.2,0.361,1.5,3.2,0.475,0.508,0.8,1.1,0.762,0.7,2.0,2.7,0.7,0.3,0.5,0.6,2.3,7.4
Josh Richardson,SG,26.0,PHI,41.0,39.0,30.8,5.4,12.3,0.4370000000000001,1.6,4.6,0.339,3.8,7.7,0.4970000000000001,0.501,2.3,2.9,0.795,0.8,2.4,3.2,3.2,0.9,0.6,2.1,2.6,14.6
