player_name,screen_name,followers_count,statuses_count
E'Twaun Moore,ETwaun55,34096,866
Ja Morant,JaMorant,452207,6709
Marcus Morris,MookMorris2,138594,3567
Markieff Morris,Keefmorris,65722,3390
Monte Morris,BigGameTae,12730,1095
Johnathan Motley,Moneymot5,3578,444
Emmanuel Mudiay,emmanuelmudiay,40225,1325
Dejounte Murray,DejounteMurray,142752,19861
Jamal Murray,BeMore27,93672,804
Sviatoslav Mykhailiuk,Sviat_10,49632,350
Abdel Nader,AbdelNader2,16278,422
Larry Nance,Larrydn22,284431,1714
Shabazz Napier,ShabazzNapier,60305,119
Raul Neto,RaulTogni,24298,678
Georges Niang,GeorgesNiang20,73471,16048
Nerlens Noel,NerlensNoel3,235062,4732
Frank Ntilikina,FrankLikina,82085,469
Kendrick Nunn,nunnbetter_,22717,12599
David Nwaba,dnwaba0,10488,413
Royce O'Neale,BucketsONeale00,33311,24608
Kyle O'Quinn,Kyle_OQuinn,32682,3033
Semi Ojeleye,semi,25002,654
Jahlil Okafor,JahlilOkafor,146409,6896
Elie Okobo,ElieOkobo_0,10229,253
Josh Okogie,CallMe_NonStop,20317,9212
Kelly Olynyk,KellyOlynyk,81623,1560
Cedi Osman,cediosman,351946,739
Kelly Oubre,KELLYOUBREJR,113321,10517
Jabari Parker,JabariParker,288943,525
Eric Paschall,epaschall,22077,1808
Patrick Patterson,pdpatt,194254,11536
Chris Paul,CP3,7968269,6191
Elfrid Payton,elfrid,67625,10536
Theo Pinson,tpinsonn,74855,7633
Mason Plumlee,masonplumlee,86606,1411
Vincent Poirier,viinze_17P,14199,13271
Kevin Porter,kporter12,14247,856
Michael Porter,MichaelEPorter,167101,1432
Bobby Portis,BPortistime,87123,3740
Dwight Powell,DwightPowell33,13352,88
Norman Powell,npowell2404,53390,3382
Julius Randle,J30_RANDLE,435149,6058
Cam Reddish,camreddish,71185,3916
Josh Richardson,J_Rich1,75269,13155
Austin Rivers,AustinRivers25,297843,3607
Duncan Robinson,Duncan_Robiso,480,803
Jerome Robinson,Rome_Coldbucks1,7237,415
Rajon Rondo,RajonRondo,1706914,1074
Derrick Rose,drose,2627266,89
Terrence Ross,TerrenceRoss,195315,3556
Terry Rozier,T_Rozzay3,144211,22463
Ricky Rubio,rickyrubio9,2983696,3745
D'Angelo Russell,Dloading,565596,899
Domantas Sabonis,Dsabonis11,38847,584
Admiral Schofield,admiralelite15,52106,16712
Mike Scott,mikescott,73640,19693
Thabo Sefolosha,ThaboSefolosha,168819,1064
Collin Sexton,CollinSexton02,20555,79
Landry Shamet,landryshamet,26872,7222
Iman Shumpert,imanshumpert,679393,15812
Pascal Siakam,pskills43,103965,1526
Chris Silva,SilvaObame,10366,2040
Ben Simmons,BenSimmons25,915458,328
Anfernee Simons,AnferneeSimons,18996,834
Marcus Smart,smart_MS3,237547,2886
Dennis Smith,DennisSmithMN,1519,808
Ish Smith,IshSmith,2414,30
Omari Spellman,Omarispellman,7263,8755
Edmond Sumner,EdmondSumner,10057,1281
Caleb Swanigan,calebswanigan50,17918,15561
Jayson Tatum,jaytatum0,511758,17462
Jeff Teague,Teague0,84835,4317
Garrett Temple,GTemp17,24951,16675
Daniel Theis,dtheis10,36291,1276
Isaiah Thomas,isaiahthomas,1668620,3729
Matt Thomas,SportsMT,24936,32584
Tristan Thompson,RealTristan13,668676,5983
Matisse Thybulle,MatisseThybulle,32687,1209
Anthony Tolliver,ATolliver44,41114,14009
Karl-Anthony Towns,KarlTowns,524489,6020
Gary Trent,gtrentjr,43620,6882
Allonzo Trier,ISO_ZO,36624,46341
Rayjon Tucker,th3flighttuck,5847,567
Evan Turner,thekidet,205547,14698
Myles Turner,Original_Turner,103840,11308
Denzel Valentine,denzelvalentine,77968,4562
Jarred Vanderbilt,JVando,39383,7505
Fred VanVleet,FredVanVleet,133750,6591
Moritz Wagner,moritz_weasley,64150,577
Kemba Walker,KembaWalker,427265,1049
Lonnie Walker,lonniewalker_4,52244,11432
Tyrone Wallace,TyWallace661,3627,14453
Derrick Walton,DerrickWalton10,24582,886
Brad Wanamaker,phillybul_22,21832,11742
T.J. Warren,TonyWarrenJr,45882,5056
P.J. Washington,PJWashington,61124,13162
Russell Westbrook,russwest44,6342637,5874
Coby White,CobyWhite,53658,2721
Derrick White,Dwhite921,21091,4960
Hassan Whiteside,youngwhiteside,187858,4092
Andrew Wiggins,22wiggins,518214,1310
Grant Williams,Grant2Will,63085,5744
Johnathan Williams,Iam_J3,8515,3566
Kenrich Williams,williamskenrich,2267,1464
Lou Williams,TeamLou23,260137,23314
Marvin Williams,_BraceYaself,8059,22935
D.J. Wilson,Lanky_Smoove,29408,205
Justise Winslow,IAmJustise,129823,8515
Christian Wood,Chriswood_5,16627,698
Delon Wright,delonwright,34251,1179
Thaddeus Young,yungsmoove21,63463,8385
Trae Young,TheTraeYoung,485923,7162
Cody Zeller,CodyZeller,148699,956
Ivica Zubac,ivicazubac,111903,442
